country_code,latest_gdp,avg_shock_growth,speed_2008,quality_2008,speed_2020,quality_2020,avg_employment,avg_dependency,avg_inflation,cluster,cluster_name
HRV,42829.2,0.35973671783404226,8.0,94.3000719804591,1.0,117.6447896454872,46.83531428571428,50.547831136945426,87.676529154895,2.0,Struggling Developed
HTI,2809.6453,-0.5771065108964856,1.0,101.90220088063614,,87.42830439726349,56.92957142857143,70.7356533663277,17.07689424999089,,
HUN,40686.934,-0.4649828917327985,6.0,97.83450085810988,1.0,107.0907813348154,49.894085714285715,48.25250448412668,10.071350575989873,2.0,Struggling Developed
IDN,14470.4375,2.0098362783822656,1.0,118.8723203336792,2.0,108.87450290156168,63.27265714285715,53.68872442310031,8.311034598449837,0.0,Resilient Emerging
IND,9818.043,2.5070039104156416,1.0,119.86104286690218,1.0,117.29695974622636,52.216699999999996,60.05972835637831,7.108884934903369,0.0,Resilient Emerging
IRL,119037.734,1.9970714732434776,7.0,89.95305990619188,1.0,122.30003873560268,57.77328571428571,51.7107803457726,2.2097684151278787,2.0,Struggling Developed
IRN,17484.133,1.4281457540090692,2.0,104.66182472837929,1.0,114.84893109158196,38.75651428571429,55.424785046729816,22.340309114647862,0.0,Resilient Emerging
IRQ,12725.043,-2.252819495562738,1.0,113.02554788104015,,88.54543107163038,37.611371428571424,82.10636421079333,47.38018893802571,,
ISL,67310.055,-3.3715863436638935,8.0,90.2654410864466,2.0,105.07812291510588,72.32605714285714,51.87226268742053,4.752538150354623,2.0,Struggling Developed
ISR,47338.844,1.0201407420456527,1.0,107.59275397635048,1.0,106.60899162666628,57.5927,63.765967126807936,4.448097918000638,0.0,Resilient Emerging
ITA,53265.004,-1.6413095229447507,15.0,93.79270440757128,1.0,106.39898105538208,43.82952857142857,51.43671006576228,2.655195383701124,2.0,Struggling Developed
JAM,11340.264,-2.271254707132503,10.0,93.50468686867166,2.0,105.38480462765148,61.70055714285714,54.6946999251135,13.842900022563006,2.0,Struggling Developed
JOR,9520.251,1.606229013081892,1.0,108.0311752256234,3.0,100.9993780499319,32.97025714285714,68.37135096275007,3.5399978200538342,3.0,Resilient Low-Income
JPN,46106.92,-1.9174907434794801,5.0,97.1200347748774,2.0,102.5211872506059,59.30615714285714,55.61498593747026,0.6424916329926559,2.0,Struggling Developed
KAZ,35973.965,0.3281766848953259,1.0,114.76228049159994,2.0,104.21951810622852,65.69124285714285,53.89157386268205,198.92506791661071,0.0,Resilient Emerging
