Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Real interest rate (%),FR.INR.RINR,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,20.0880640264226,6.31368010063474,5.50666243462542,16.9737023617335,10.5917168100241,6.08761362631579,9.77935683302122,10.3344843609634,14.0529881752783,17.0119196633806,10.5269926198422,12.267076983443,11.8406046593974,9.88216752712154,13.1952180009875,18.0810579034383,13.7226809860845,18.2357266141234,14.3686867020506,17.7125860303369,14.0414110742632,19.2271079636794,11.5510878768314,10.9207893701168,10.6436901190592,10.1374154370035,10.199404772485,16.9657896052259,11.4708938185105,8.11082138544433,11.6624405372763,9.36812182964197,9.58641090069746
Real interest rate (%),FR.INR.RINR,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.59609815466937,2.5881456183227,4.3445629753372,-1.36233108364526,2.37742857428905,4.19549019095698,1.46803081679031,-2.46960852040217,3.83659295370063,5.5999917955037
Real interest rate (%),FR.INR.RINR,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Real interest rate (%),FR.INR.RINR,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,7.18897917070202,7.3178057357332,4.39011352195664,7.97248680292129,7.29069384793529,13.7474442174078,0.0305555657188214,8.89335291823628,8.28079439788385,5.56145046368359,7.41504460555237,7.82073479574516,3.77606455074241,7.12532798815581,7.29550932422907,2.73953660813191,4.79124819646696,9.25846936869144,-0.452380923380808,9.98395912429185,9.78759245809076,11.158765783946,10.2103871479367,7.53273636326834,6.96680039207906,8.89481722872429,7.81013552158548,8.93079338586161,5.16003045502482,4.7022266677534,4.93682331091909,7.41622267650341,7.85338265465553
Real interest rate (%),FR.INR.RINR,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.3968389397732,18.9501337506136,21.2807435646544,21.9711391761305,19.9321704103354,28.5447785836516,44.4076299315178,44.1131558230882,35.5300943196571,39.7798687084599,41.9515996899942,30.2290511824939,32.1815221664531,27.9483957185948,17.8530979126692,17.3230579080152,10.6586077125964,6.02233191168458,10.0756689351211,-1.55933382958267,5.11062966265615,3.16372004257659,15.1460374289771,1.04104152848906,-3.21717814892907,3.76719139203369,4.77002914125712,7.49119854684631
Real interest rate (%),FR.INR.RINR,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.32132201959301,9.32753797012934,7.94786969790635,3.22395521222414,0.198551451909391,0.919932443791068,-0.334494227707476,7.73269234983553,6.39214485485004,4.88042163230984,6.48156391846798,7.2764764654592,5.58529714833356
Real interest rate (%),FR.INR.RINR,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,-1.55665498820811,9.72190950408836,19.781891313643,4.25720165427279,-2.96896350855332,-9.27115319577954,-2.68386492235018,-2.39060478371395,-12.1141666201078,-5.2636823182382,1.48163823677963,6.32797899894067,6.90244634765956,1.63797026811845,4.06788524957284,6.77649370861708,-1.38848072123473,8.53034219713919,3.34968985507135,0.473255877886662,1.14582523705701,6.86638447526455,14.8447010075106,12.7261593572254,5.15195653567252,0.230180568544681,10.7498451318936,9.60660136551935,6.55459216778818,-1.17567655612691,3.50357416793177,-1.46772898222052,7.75464918864852,8.5265575689159,-0.548849802276951
Real interest rate (%),FR.INR.RINR,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.4088449823572,77.6168379916665,67.060917103827,48.5047281831843,45.6378187168125,48.3404374497978,46.447398837078,43.7791527215823,44.6351688572486,41.240326487245,35.0225154508309,35.3667577888094,34.792009638163,29.1158055183637,32.8334595056712,26.5820905353339,18.498844416907,22.4036724327293
Real interest rate (%),FR.INR.RINR,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.8213574319673,-4.44344199616676,3.0507709785605,11.0211402105211,5.64302408906322,-0.76189501480855,-9.47465919647903,-12.450760317229,-4.04236494665693,0.767082535354027,-9.06800368287673,34.805790292472,0.495246548770843,-12.2155723237545,4.22815370059819,8.56533104131138,7.48417427891579
Real interest rate (%),FR.INR.RINR,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.06847540328998,17.0524850708729,17.2611749587835,-23.9591157206933,139.963713201283,-69.1063591045788,-14.8320466228749,9.85227659204596,3.69017826886915,4.7051830095992,5.16085367037714,6.2178221831923,3.11585448116752,1.93886978015724,2.0008627659768,-0.948807878192513,2.55123055462124,7.11672360544814,10.3015199756547,4.25643887692505,8.50741240012361,8.96500627436584,6.83027968605849
